Frame ID,QR ID,QR 2D,QR 3D
3,1,"[[400, 122], [451, 120], [453, 171], [403, 175]]","[2.8968731502093807, -143.43217227213847, -32.9637559062164, -15.24396249730304]"
4,1,"[[400, 122], [451, 120], [453, 171], [403, 175]]","[2.8968731502093807, -143.43217227213847, -32.9637559062164, -15.24396249730304]"
5,1,"[[398, 122], [449, 120], [452, 170], [401, 172]]","[2.992164662174179, 179.97432057596365, -2.219962967863392, -3.1788381570587543]"
6,1,"[[401, 120], [451, 119], [454, 170], [403, 171]]","[2.9899710008278464, -176.11616657272288, 0.0051402031718809586, -1.4249893023575675]"
7,1,"[[401, 120], [451, 119], [454, 170], [403, 171]]","[2.9899710008278464, -176.11616657272288, 0.0051402031718809586, -1.4249893023575675]"
8,1,"[[401, 122], [452, 120], [455, 170], [404, 172]]","[2.9884326372844807, 179.9602103174996, -2.2643610606343882, -3.1870492709227207]"
9,1,"[[402, 121], [453, 120], [455, 171], [405, 172]]","[2.9910215393200743, -175.47370304147776, -0.05838581171643185, -1.3508188441700817]"
10,1,"[[403, 122], [453, 120], [456, 171], [406, 173]]","[2.983304183552855, -176.09132926103416, 2.0208633847780075, -1.9169211098239014]"
11,1,"[[404, 121], [454, 120], [456, 171], [407, 173]]","[2.9739658541581626, -148.47819023766837, -32.4258368626963, -13.048606476217156]"
12,1,"[[403, 122], [454, 120], [456, 172], [407, 173]]","[2.9761169731491837, -173.52573523077436, 2.712580459275195, -1.0761915017731059]"
13,1,"[[402, 122], [453, 121], [456, 171], [407, 174]]","[3.007766991133429, -150.17463711047452, -28.45665834695204, -12.06902948878992]"
14,1,"[[402, 121], [453, 120], [455, 171], [406, 173]]","[2.9786959739245678, -149.21891769352874, -30.662392362251726, -12.327374665281623]"
15,1,"[[402, 121], [453, 120], [455, 170], [406, 172]]","[3.0195938333276167, -148.029498316301, -28.147469031280067, -11.321248309670239]"
16,1,"[[402, 121], [452, 120], [455, 170], [404, 171]]","[3.020512801074922, -178.1818253204905, -2.3937137056072, -2.140958755636287]"
17,1,"[[403, 122], [454, 120], [456, 171], [405, 172]]","[2.96002456050626, -179.90122420534308, -0.05264780222836244, -1.9692245077107702]"
18,1,"[[403, 121], [454, 120], [456, 171], [406, 172]]","[2.990061838359057, -175.45537484172496, -0.07833714811496514, -1.3552140458121453]"
19,1,"[[411, 118], [456, 110], [461, 163], [416, 168]]","[2.953857858251437, -175.32850115825326, 16.316769009831415, -2.820353294199435]"
20,1,"[[409, 118], [456, 111], [461, 163], [414, 168]]","[2.9707026344789607, -176.52016795330852, 11.174856718069684, -3.7758819469350793]"
21,1,"[[409, 118], [456, 111], [461, 163], [414, 169]]","[2.9366367422330506, -177.05232043550458, 12.332948154019094, -3.9209144218896146]"
22,1,"[[406, 118], [456, 112], [460, 164], [411, 169]]","[2.9151093326063178, -178.71190465921953, 7.014536470860731, -4.260415567713272]"
23,1,"[[403, 118], [455, 114], [457, 166], [407, 169]]","[2.9049945555960424, -179.69673589025413, 3.5071264325965004, -3.0208662969053846]"
24,1,"[[402, 118], [454, 114], [457, 166], [406, 169]]","[2.903981369380831, -179.78799955426877, 1.807250748829566, -3.5680965724165463]"
25,1,"[[400, 117], [451, 115], [454, 166], [403, 168]]","[2.967009194094465, -178.03694126267925, -0.17869179921153094, -2.564244259122387]"
26,1,"[[399, 114], [449, 117], [449, 167], [400, 166]]","[3.0425215335004165, -153.3195256475533, -32.33595626535967, -8.461618098025008]"
27,1,"[[399, 112], [447, 116], [447, 167], [399, 165]]","[3.0047534307239263, -155.60816419679483, -39.204009140014016, -9.99265993620565]"
28,1,"[[399, 110], [443, 114], [444, 165], [399, 164]]","[2.9864452108862185, -153.23800361355842, -47.294765710120565, -15.147250752044407]"
29,1,"[[400, 109], [442, 114], [443, 165], [401, 161]]","[3.0526706107792396, -158.61877483862546, -50.9193953188285, -13.771169605733725]"
30,1,"[[401, 109], [443, 115], [442, 166], [402, 161]]","[3.0419276440916674, -160.1560596060588, 19.324103527446212, 12.829334275534965]"
31,1,"[[401, 111], [446, 115], [447, 166], [401, 163]]","[3.0474836220599264, -157.72890578995282, -43.57182003229802, -11.2761804016684]"
32,1,"[[401, 113], [450, 114], [451, 166], [402, 165]]","[2.9871029189730547, -171.15726727259727, 5.544044132209695, 2.5784119632469804]"
33,1,"[[398, 111], [450, 111], [452, 161], [401, 162]]","[3.0062405785308073, -177.96622784060713, -4.691108296571922, -2.2177234369510597]"
34,1,"[[398, 106], [449, 106], [451, 156], [400, 156]]","[3.0392965588974583, -178.3979773147793, -4.284579848867422, -1.6478319656032037]"
35,1,"[[397, 93], [448, 92], [451, 142], [399, 144]]","[2.9917286538535306, 179.3641288515499, -1.894281334827825, -2.6512843748212918]"
36,1,"[[397, 82], [448, 82], [451, 131], [399, 133]]","[3.027352563646184, 178.89242626082796, -3.7072330614525213, -2.7594605869123026]"
37,1,"[[396, 65], [447, 64], [450, 112], [399, 115]]","[3.0714174635489213, 177.1555973475076, -2.8893126678712733, -3.74977886331037]"
38,1,"[[396, 53], [447, 53], [449, 100], [399, 102]]","[3.140285866948151, -131.3445981890189, -23.702515415007248, -11.651745453100416]"
39,1,"[[395, 27], [447, 25], [448, 72], [396, 72]]","[3.083182970637933, 169.3541482072151, -3.090048598538808, -3.130317747572367]"
45,1,"[[392, 9], [447, 9], [447, 65], [395, 67]]","[2.8653789776486565, -130.7196228579255, -32.1283585813873, -18.29302250076627]"
46,1,"[[393, 36], [448, 34], [449, 91], [397, 92]]","[2.850282956286662, -174.60801111661146, 5.021482654199294, -0.0148615371427242]"
47,1,"[[393, 43], [448, 41], [449, 97], [397, 98]]","[2.8697415552862915, -175.80295811950631, 3.5376125939799676, -0.641562019446533]"
48,1,"[[394, 68], [448, 66], [450, 117], [397, 119]]","[2.9195031828784743, 176.0335188015487, -2.097691514731659, -3.3580035685409055]"
