Frame ID,QR ID,QR 2D,QR 3D
225,9,"[[640, 21], [661, 24], [656, 48], [635, 44]]","[6.683633587786227, -169.01720448570123, 15.676690417808418, 16.267824466953098]"
227,9,"[[644, 34], [666, 38], [661, 62], [638, 57]]","[6.401338603893877, -175.23894685032818, 8.57882381824282, 14.627303299572626]"
228,8,"[[596, 22], [608, 24], [605, 38], [593, 36]]","[11.249404624096014, -168.91582597169736, 18.50415040995714, 17.58457716306092]"
229,9,"[[656, 45], [677, 49], [672, 74], [650, 69]]","[6.358126683489754, -164.0064971100717, 17.029722857519022, 18.729609498828005]"
230,9,"[[719, 69], [743, 74], [735, 100], [712, 95]]","[5.767909777101238, -145.64966352439959, -17.104089216465173, 4.67332920833417]"
230,8,"[[659, 51], [672, 54], [668, 68], [655, 66]]","[10.334302153221305, -139.648837874849, -24.048724667441213, -0.03370623690476605]"
231,9,"[[710, 107], [736, 110], [731, 139], [704, 136]]","[5.116892798275791, -170.32609516282767, 23.24392186805248, 14.46632914018161]"
231,8,"[[639, 94], [652, 95], [650, 110], [636, 108]]","[10.193179666738729, -174.12712176567663, 16.46563864263063, 12.042982226039847]"
232,9,"[[719, 98], [746, 101], [742, 130], [713, 127]]","[5.1005024866575015, -174.7083564766231, 14.952314629783803, 11.150093784999045]"
232,8,"[[646, 85], [660, 86], [657, 102], [643, 101]]","[9.265223083126246, -173.60051424611476, 25.531373516530273, 13.92961964384618]"
233,9,"[[722, 88], [750, 91], [745, 120], [716, 116]]","[5.066546400157218, -179.43627837197593, 12.60717005223527, 11.350937537835474]"
234,9,"[[729, 77], [758, 79], [752, 109], [724, 105]]","[5.082130072505275, -176.86791772111724, 15.611248883866752, 11.745122813622523]"
235,9,"[[744, 75], [773, 76], [770, 107], [739, 104]]","[4.9327907153961625, -178.9750072703595, 12.098890331949027, 8.099527147221806]"
236,9,"[[752, 70], [782, 72], [777, 103], [748, 100]]","[5.03500238802057, -171.85116980675815, 12.969985434101359, 9.66270993430617]"
237,9,"[[755, 56], [784, 57], [779, 89], [750, 86]]","[5.046290036324249, -169.16669235031497, 20.168771411786416, 12.189154948072366]"
238,9,"[[753, 48], [784, 49], [779, 82], [750, 80]]","[4.942935008160244, -163.44789834778553, 18.72742904261184, 10.730865717679443]"
239,9,"[[752, 57], [782, 59], [778, 91], [746, 88]]","[4.801978863046586, -176.68517932617755, 13.276753344324833, 9.784010632796862]"
239,8,"[[674, 46], [688, 46], [686, 63], [671, 63]]","[9.1098990336593, -171.4330155236951, 28.451354377107872, 12.85507687808622]"
