Frame ID,QR ID,QR 2D,QR 3D
273,0,"[[408, 63], [467, 59], [472, 119], [415, 123]]","[2.624055919690614, -173.71452560065083, 1.6161530367091752, -3.67235834696275]"
274,0,"[[412, 31], [470, 27], [473, 86], [415, 90]]","[2.620229155389755, 179.57104751327518, 4.491627597254519, -2.525105704602376]"
287,0,"[[228, 27], [288, 23], [294, 83], [236, 87]]","[2.868614045923346, -178.54962710013834, 2.8975300809489357, -4.20881271501755]"
288,0,"[[122, 12], [187, 8], [195, 68], [131, 74]]","[2.938741760504554, 176.65962992825533, 1.3656813913605992, -6.877318698209338]"
308,0,"[[681, 56], [746, 55], [745, 118], [681, 117]]","[2.2989527763305806, 175.45403673777116, 3.6302448084265535, 0.9941942875337794]"
316,1,"[[615, 84], [640, 88], [637, 114], [611, 112]]","[5.587677624437448, -149.64112171948958, -15.56741170608527, 0.8266956568247332]"
317,1,"[[672, 99], [698, 103], [694, 129], [669, 126]]","[5.654635103968129, -150.90386890130222, 0.08400135099667976, 7.50184810121245]"
318,1,"[[702, 120], [727, 122], [724, 149], [698, 146]]","[5.58914885066757, -171.840165811652, 12.22296447461596, 9.175542781588767]"
319,1,"[[705, 120], [732, 123], [728, 151], [702, 151]]","[5.050608910294827, -154.48433703207894, -16.96893703430314, -2.577753338365305]"
320,1,"[[712, 116], [740, 118], [736, 147], [708, 144]]","[5.12259741212326, -176.08520766746042, 12.582591417009542, 8.908141289745801]"
321,1,"[[737, 115], [765, 116], [762, 145], [735, 143]]","[5.3169581039230085, -155.15627326480669, 7.632936350040355, 5.456687179815925]"
322,1,"[[752, 111], [781, 113], [778, 142], [750, 141]]","[5.163729076923852, -154.3611589207795, 7.772928919795839, 5.141085117170134]"
323,1,"[[725, 92], [752, 93], [750, 123], [721, 123]]","[5.285737878191091, -158.40158754161473, -0.3775790841204472, 2.0694028587405957]"
324,1,"[[688, 106], [714, 107], [712, 136], [684, 136]]","[5.440522076667511, -158.65965781695812, -3.231093833424775, 1.7235624234339681]"
325,1,"[[658, 88], [686, 90], [684, 121], [656, 119]]","[5.09926353834236, -160.2571607502482, -3.312250295023592, 2.6045566604093446]"
