Frame ID,QR ID,QR 2D,QR 3D
44,15,"[[402, 166], [470, 163], [473, 231], [406, 233]]","[2.18861021476872, -177.42930908528942, 0.3445263813775767, -2.152721120978849]"
45,15,"[[403, 166], [471, 163], [474, 231], [407, 233]]","[2.18787265058992, -177.4183204387237, 0.3347976719775704, -2.1543595275003984]"
46,15,"[[408, 168], [475, 166], [479, 233], [412, 236]]","[2.1966533301151125, -175.92776823000847, 0.0011208172262994732, -2.2381165033231536]"
47,15,"[[404, 164], [472, 161], [476, 228], [409, 232]]","[2.189931112580292, -177.46764066163323, -0.39387998040774275, -3.1168077447905858]"
48,15,"[[405, 164], [473, 160], [477, 228], [409, 231]]","[2.171672390366516, -179.50288848010015, 0.05667786782304568, -3.0963188327923548]"
49,15,"[[402, 159], [469, 156], [474, 224], [405, 227]]","[2.1736615446364613, -178.54985158181984, 0.07675251869247898, -2.743167517793931]"
50,15,"[[400, 160], [467, 157], [471, 225], [403, 228]]","[2.174754823993019, -178.494399184634, 1.6804604339023563, -2.317256890084589]"
51,15,"[[396, 169], [464, 166], [468, 234], [400, 238]]","[2.1574279134370644, -178.23645117190136, 1.4032085483058776, -2.7190121236262863]"
52,15,"[[389, 176], [457, 173], [461, 241], [394, 245]]","[2.168870165991911, -176.47850673273996, 1.9366974426882062, -2.591419856567608]"
53,15,"[[376, 184], [445, 179], [449, 246], [381, 251]]","[2.1749241298731095, 177.77887470242194, -0.6505496532769928, -4.400215627856791]"
54,15,"[[356, 184], [424, 180], [428, 247], [361, 253]]","[2.1845866566658745, 179.86348101390524, 2.3669080757697536, -3.7746607846545714]"
55,15,"[[344, 198], [413, 193], [418, 260], [350, 265]]","[2.214551370096473, 179.82010911188135, -1.7317488457442394, -4.637848404995226]"
56,15,"[[343, 186], [411, 183], [415, 252], [346, 255]]","[2.1740891550396997, -178.88412022796985, 2.0528345745687133, -2.2761594520832094]"
57,15,"[[318, 190], [387, 186], [392, 254], [324, 258]]","[2.232635199632225, -177.62262521376735, -0.19653852465139196, -3.5577587272244218]"
58,15,"[[310, 184], [379, 180], [384, 248], [315, 253]]","[2.216244975375815, -179.7329763585815, 0.5423870083150918, -3.838359880869221]"
