Frame ID,QR ID,QR 2D,QR 3D
378,3,"[[512, 165], [535, 164], [536, 188], [514, 190]]","[3.2177382405252173, 178.40142602987498, 9.128406688155701, -3.725425070397831]"
379,3,"[[523, 176], [547, 175], [548, 197], [525, 200]]","[3.3627783268326894, -173.5029347651702, 22.874339057376744, -6.579826439067652]"
380,3,"[[542, 135], [567, 135], [566, 159], [542, 159]]","[3.324827740774619, -169.8900013499489, 22.46871098215487, -0.5540765873229245]"
381,3,"[[560, 151], [585, 151], [585, 177], [561, 177]]","[3.166960608905173, 179.8627946437239, 8.379649293862064, -0.6326246200337823]"
382,3,"[[562, 155], [587, 154], [588, 181], [563, 182]]","[3.0541176356763824, -179.3345080678683, 6.225384757989423, -2.620424955630951]"
383,3,"[[554, 162], [580, 161], [580, 187], [554, 188]]","[3.111037660757805, -174.2810363117387, 14.983724881940226, -2.982509552187837]"
385,3,"[[551, 148], [578, 148], [577, 177], [551, 177]]","[2.807308328098146, -176.60073275482452, 6.848628031948216, -0.5565802699301677]"
386,3,"[[552, 140], [580, 140], [580, 169], [553, 170]]","[2.7646631780690822, -177.7712023599647, 8.332292492132645, -1.6980586478319508]"
387,3,"[[562, 135], [591, 134], [592, 164], [563, 166]]","[2.6992476312412896, -176.63472049403418, 7.742037210005342, -3.5686414713336654]"
388,3,"[[573, 149], [603, 147], [605, 177], [575, 180]]","[2.731206039267042, -177.5926661109074, 7.231535267626961, -5.394764508336252]"
389,3,"[[604, 117], [635, 117], [635, 149], [604, 150]]","[2.691907362725306, -177.93261053337724, -4.350834491437142, -1.7128149113290003]"
390,3,"[[629, 126], [662, 126], [664, 160], [630, 160]]","[2.6826930221886247, 178.82453712331315, -9.393808653260692, -0.5903322128087374]"
391,3,"[[665, 144], [699, 142], [700, 178], [666, 179]]","[2.7414792884374166, -178.15131752777665, -16.27456688209841, -3.033546108512029]"
392,3,"[[675, 140], [711, 137], [711, 175], [676, 176]]","[2.681383686317294, -177.37280451638668, -17.47994584825011, -3.773499861103382]"
393,3,"[[688, 105], [724, 104], [725, 143], [689, 145]]","[2.5819195632114726, -179.68731448289938, -20.185683840411595, -2.893720989308249]"
394,3,"[[698, 104], [736, 101], [737, 141], [700, 143]]","[2.6371895898773103, -179.1152992609064, -20.15105363538645, -4.291176168393265]"
395,3,"[[708, 64], [748, 62], [750, 105], [709, 108]]","[2.468813085559014, 178.95817594379983, -21.515184616963747, -3.8415164652059306]"
396,3,"[[728, 74], [771, 71], [773, 117], [730, 120]]","[2.4162366933211836, 179.53192657971977, -22.47502204096953, -4.310225648896482]"
397,3,"[[792, 44], [840, 42], [839, 93], [792, 95]]","[2.4692164867757422, 178.12755059138166, -24.345361398430676, -2.574637861617689]"
398,3,"[[850, 44], [902, 43], [901, 97], [850, 99]]","[2.5268489460587635, 177.80546538611608, -25.027491131435553, -1.7155597440664312]"
399,3,"[[888, 47], [942, 45], [942, 101], [888, 103]]","[2.5987085375226324, 178.11379483866108, -25.166909079584556, -2.0260814834830607]"
418,2,"[[273, 63], [305, 62], [304, 102], [274, 103]]","[1.8300256269212876, -162.7951524537788, -39.092408703863754, -10.976890724580958]"
422,2,"[[604, 61], [634, 57], [630, 98], [600, 101]]","[2.2311601116400714, -168.75763984762554, -15.000481649260719, -8.637908688724515]"
422,5,"[[69, 77], [87, 78], [87, 96], [69, 95]]","[4.116724471955542, -153.557049107489, -18.637765818480087, 3.615632880486418]"
423,2,"[[629, 64], [660, 61], [656, 102], [625, 104]]","[2.3298513934473704, -172.9695555700116, -17.615322724346886, -6.382053734917773]"
424,2,"[[680, 58], [711, 55], [706, 98], [675, 100]]","[2.449631480169733, -175.6930762893588, -23.363618707982344, -6.1780090087371295]"
425,2,"[[723, 68], [754, 65], [750, 110], [718, 111]]","[2.5252408848496475, -177.55894401805983, -25.680143656607633, -4.915095038866473]"
426,2,"[[782, 64], [815, 59], [811, 104], [777, 108]]","[2.7717257845768897, -176.5343148453094, -26.397106269919654, -7.964417016806443]"
426,5,"[[276, 117], [293, 118], [293, 134], [276, 132]]","[4.2119950522087555, -148.73886905857768, 8.27369643515876, 5.892286865357498]"
427,2,"[[789, 47], [822, 40], [818, 87], [785, 92]]","[2.743351448259448, -175.89350521509476, -26.90776141562345, -10.576457247185324]"
427,5,"[[298, 110], [316, 111], [314, 127], [298, 125]]","[4.268511577686576, -149.2925420116639, 4.402279777500771, 5.56752155638949]"
428,2,"[[787, 28], [820, 21], [815, 71], [783, 75]]","[2.6369570443669046, -176.55470778341635, -27.51131854286604, -10.520439075131979]"
428,5,"[[305, 94], [322, 95], [321, 111], [305, 110]]","[4.400767688243259, -156.19854128834635, 8.411684769606023, 4.624520795930565]"
429,2,"[[798, 33], [830, 26], [826, 76], [793, 81]]","[2.6384234059703697, -176.20442675315883, -27.72982226432307, -10.887954958700933]"
429,5,"[[324, 96], [341, 97], [341, 113], [325, 113]]","[4.313610280332856, 175.29546569918486, -9.756643300791309, -0.046909608147100774]"
