Frame ID,QR ID,QR 2D,QR 3D
12,1,"[[245, 156], [286, 154], [285, 194], [245, 194]]","[4.004417327952202, 174.84604299741102, 2.08974732517313, -1.5181416510797199]"
13,1,"[[210, 140], [253, 139], [255, 181], [214, 182]]","[3.970261550883326, -177.34127594288248, 2.357548407457036, -1.582712090942719]"
14,1,"[[207, 128], [251, 127], [252, 170], [208, 170]]","[3.864486656616973, 178.16682203896437, 1.256713730360431, -1.342255277348199]"
15,1,"[[229, 152], [273, 154], [273, 199], [227, 197]]","[3.6142811736880116, -179.11456052613403, 2.8009954172259732, 2.506437735696519]"
16,1,"[[184, 148], [232, 150], [229, 198], [182, 196]]","[3.4480575437186003, 178.69374601595246, 5.513807917424027, 2.8682763696348306]"
17,1,"[[16, 162], [76, 168], [72, 224], [11, 220]]","[3.2315884754669404, 178.21830179635043, 5.384032045954153, 4.216617558649985]"
18,1,"[[90, 160], [151, 165], [147, 223], [87, 219]]","[2.996246989770712, 179.33849761163202, 4.193626314097134, 3.96131178198948]"
19,1,"[[95, 155], [153, 160], [149, 219], [90, 216]]","[2.911791218546772, 178.82686067344818, 8.066273355530331, 4.346465502364383]"
20,1,"[[91, 172], [151, 178], [145, 237], [85, 233]]","[2.893671273550074, 178.19595135753224, 6.75265024660768, 4.954432723427442]"
21,1,"[[94, 176], [156, 183], [150, 241], [89, 237]]","[2.916909941408807, -141.03187885893374, -71.92450085642024, -23.39062677346406]"
22,1,"[[129, 192], [190, 199], [182, 256], [122, 251]]","[2.885224926057603, 177.07010799959917, 2.967289760342224, 5.565212940235395]"
23,1,"[[135, 197], [195, 203], [189, 262], [128, 257]]","[2.812354123663013, 178.07206218075618, 4.359535349925166, 5.2263451077008645]"
24,1,"[[147, 207], [209, 212], [203, 272], [141, 269]]","[2.709848615793751, 176.99785932858276, 4.203748686133368, 3.7822889323599114]"
25,1,"[[157, 199], [221, 204], [215, 264], [152, 260]]","[2.716815507068799, 177.33448027377557, 1.2753044480663656, 3.799787550862412]"
26,1,"[[207, 222], [269, 224], [267, 284], [205, 283]]","[2.638626863931484, 178.4457809852095, 1.3226666434808758, 1.2679405162597304]"
27,1,"[[253, 244], [314, 247], [313, 307], [251, 304]]","[2.597219749892201, -177.94973344369973, -0.7128761025692584, 2.583874807279749]"
28,1,"[[338, 260], [399, 260], [400, 320], [340, 321]]","[2.4635061717286773, -177.22227315333183, 0.7055995602271317, -0.3795299750642032]"
30,1,"[[524, 270], [591, 269], [589, 332], [525, 333]]","[2.137616686892866, -158.66036291427437, -12.45056558857851, -1.910951873630574]"
31,1,"[[536, 267], [600, 264], [602, 327], [538, 327]]","[2.199120474708046, 170.55314570233816, -3.514875318074905, -1.9097625958118085]"
