Frame ID,QR ID,QR 2D,QR 3D
19,15,"[[524, 21], [618, 4], [630, 100], [538, 116]]","[1.5718176238304646, -178.5117149134851, 7.278237017059534, -7.242260439691762]"
20,15,"[[518, 54], [609, 39], [622, 133], [531, 149]]","[1.577965643380055, -176.97064385755738, 7.209855336127136, -7.118527056132768]"
21,15,"[[498, 85], [589, 69], [603, 160], [513, 177]]","[1.5791211440726993, -179.78668690435123, 4.78212786604401, -8.830041559818296]"
22,15,"[[493, 87], [584, 72], [598, 163], [508, 180]]","[1.580554813198814, -178.76750405335673, 4.242150530021947, -8.673648333589838]"
23,15,"[[489, 104], [579, 87], [595, 177], [505, 195]]","[1.5782177378119495, 179.57976305084216, 3.7865136775748103, -9.936653769480676]"
24,15,"[[483, 119], [572, 101], [589, 191], [500, 208]]","[1.5930703344784414, -179.37818306309615, 3.054050887316813, -10.431191254131665]"
25,15,"[[484, 120], [573, 103], [590, 193], [500, 210]]","[1.583814092296812, -179.77166699150985, 2.7728950850226908, -10.139200701673207]"
26,15,"[[482, 126], [571, 110], [586, 199], [497, 216]]","[1.5871727216268385, 179.40740273091353, 3.820547992460356, -9.49825520413638]"
27,15,"[[481, 130], [570, 113], [586, 202], [497, 219]]","[1.5891228193307927, 179.2836233629343, 2.9215765557428903, -10.133789865287959]"
28,15,"[[509, 112], [599, 103], [607, 193], [518, 203]]","[1.597382120645117, -178.5515492546182, 3.614657274171883, -5.070504379352634]"
28,1,"[[4, 20], [76, 21], [93, 92], [20, 95]]","[2.8437089192288028, -174.12229561899616, 4.771032789524978, -3.0175538291900685]"
29,15,"[[539, 86], [629, 83], [632, 175], [541, 175]]","[1.6056261102167537, -179.28302718770166, 0.8173518113817851, -1.1073082073272067]"
30,15,"[[559, 71], [650, 72], [647, 165], [555, 163]]","[1.5763043113263586, -179.25910506701933, 5.560347936613907, 2.5372149533090944]"
31,15,"[[552, 69], [643, 71], [639, 164], [547, 162]]","[1.5720683172462397, -178.99889806375464, 6.275640751260909, 3.1537285890591993]"
32,15,"[[527, 63], [618, 66], [613, 159], [523, 157]]","[1.5916351547080483, -176.4865477244392, 6.436660920444122, 3.6617606433652026]"
33,15,"[[523, 65], [614, 69], [608, 161], [518, 159]]","[1.5895885446795985, -177.68511570388782, 6.391628276408897, 3.989870102570602]"
34,15,"[[512, 65], [603, 68], [598, 161], [508, 158]]","[1.5973796427510238, -176.98399766267818, 5.619406239679414, 3.6284721932897845]"
35,15,"[[510, 65], [601, 70], [595, 162], [505, 158]]","[1.6039902736330052, -177.1689328805359, 4.210735485553739, 4.128548624971363]"
36,15,"[[496, 65], [587, 70], [580, 162], [490, 158]]","[1.5975149116023302, -178.36934089928226, 5.480099741392117, 4.554049348303431]"
37,15,"[[492, 65], [584, 70], [577, 162], [487, 158]]","[1.598144199265682, -178.33185910326642, 4.4329404187137715, 4.2096742570371966]"
