Frame ID,QR ID,QR 2D,QR 3D
12,1,"[[245, 156], [286, 154], [285, 194], [245, 194]]","[1.7959779868987238, 161.99046086399863, 3.202225615047042, -1.6710728664041246]"
13,1,"[[210, 140], [253, 139], [255, 181], [214, 182]]","[1.6956466023191983, -166.53829352251242, 2.6619760440300078, -1.2834454698637852]"
14,1,"[[207, 128], [251, 127], [252, 170], [208, 170]]","[1.6620639711240763, -164.29218915165876, -5.634730639142499, -0.4571719165202913]"
15,1,"[[229, 152], [273, 154], [273, 199], [227, 197]]","[1.6035152911980661, 166.19416563184865, -13.68771510836333, 3.1348269902686026]"
16,1,"[[184, 148], [232, 150], [229, 198], [182, 196]]","[1.5347337586446912, -178.41334660462635, -11.415033817781994, 3.031274505530031]"
17,1,"[[16, 162], [76, 168], [72, 224], [11, 220]]","[1.342757712391105, -171.818589731253, -28.976231437195466, 7.6960623013444724]"
18,1,"[[90, 160], [151, 165], [147, 223], [87, 219]]","[1.2291999973376961, -168.52950218835585, -23.062199580068164, 5.663556147772644]"
19,1,"[[95, 155], [153, 160], [149, 219], [90, 216]]","[1.2658102070910549, 172.2077529186679, -27.714409625971644, 5.969776261119068]"
20,1,"[[91, 172], [151, 178], [145, 237], [85, 233]]","[1.2389458521064876, -178.2461031103245, -29.619732063460606, 7.896830767279243]"
21,1,"[[94, 176], [156, 183], [150, 241], [89, 237]]","[1.2103056095800402, -172.2019674258673, -26.514528043044727, 7.626251278717842]"
22,1,"[[129, 192], [190, 199], [182, 256], [122, 251]]","[1.2184076437624274, -173.80186469060837, -25.39182809081006, 9.08855924153211]"
23,1,"[[135, 197], [195, 203], [189, 262], [128, 257]]","[1.2255188648534658, 154.98609324575995, -14.127781556845136, 6.2492311262516855]"
24,1,"[[147, 207], [209, 212], [203, 272], [141, 269]]","[1.1867176883735386, -179.956231138341, -25.024180167557738, 7.851621572244133]"
25,1,"[[157, 199], [221, 204], [215, 264], [152, 260]]","[1.1640256962241093, -173.94906828988903, -19.144439615268276, 6.563187099773294]"
26,1,"[[207, 222], [269, 224], [267, 284], [205, 283]]","[1.1961565861677592, 178.02451692879106, -11.560763269056446, 3.193993799034901]"
27,1,"[[253, 244], [314, 247], [313, 307], [251, 304]]","[1.2141425328261557, 173.8982320272651, 2.08032763885175, 1.6074400439403367]"
28,1,"[[338, 260], [399, 260], [400, 320], [340, 321]]","[1.2466099458968898, 167.60539854281333, 9.181660113925162, -2.4649379733934347]"
30,1,"[[524, 270], [591, 269], [589, 332], [525, 333]]","[1.3002953165006446, -176.61185389115622, 5.838803792853537, -2.2995143858465434]"
31,1,"[[536, 267], [600, 264], [602, 327], [538, 327]]","[1.370483091368455, -177.95329694934674, 5.3814114451473625, -3.2667154522062654]"
32,1,"[[569, 246], [634, 244], [637, 307], [575, 309]]","[1.4109642750677882, -177.7051587482495, -2.373693947740665, -3.2867879667703375]"
33,1,"[[602, 232], [666, 228], [671, 291], [606, 295]]","[1.4557540056177467, -175.15346408967466, -8.009137813885813, -5.031565987790028]"
34,1,"[[645, 240], [709, 236], [714, 300], [649, 303]]","[1.5696456981321505, -173.87662814204825, -14.861052184143253, -4.780518609352057]"
35,1,"[[681, 256], [745, 251], [751, 317], [686, 319]]","[1.6735564260838107, -173.068053883598, -18.36191202678212, -4.83398050605334]"
36,1,"[[680, 289], [743, 286], [750, 349], [685, 352]]","[1.7501985724144726, -171.6678477020751, -17.928853758674794, -5.071612002698275]"
37,1,"[[708, 320], [771, 315], [780, 376], [714, 382]]","[1.8924291056739413, 34.94915980770268, 44.98999808495481, -111.29454808439276]"
38,1,"[[706, 310], [769, 304], [776, 366], [712, 371]]","[1.8672383171449167, 33.76879987741199, 46.0594628272886, -114.19669024792552]"
41,1,"[[684, 292], [744, 288], [751, 349], [690, 353]]","[1.8180324841092854, -171.37783770905756, -18.48914424240625, -5.736243158857915]"
42,1,"[[676, 305], [735, 300], [741, 359], [682, 363]]","[1.8668979032875952, -170.21593118391536, -17.62374908892817, -6.6606679165936775]"
43,1,"[[658, 320], [716, 316], [721, 373], [664, 377]]","[1.877191275799148, -169.76172223085536, -16.570477445753074, -6.350783320795636]"
44,1,"[[642, 323], [699, 320], [703, 376], [646, 379]]","[1.854915440209969, -169.941369626271, -15.43107655747933, -5.343037725372896]"
45,1,"[[622, 326], [677, 326], [680, 380], [624, 381]]","[1.8738280118408843, 47.43980600016588, 51.03704639961189, -95.6596284338685]"
47,1,"[[576, 276], [628, 276], [629, 325], [575, 328]]","[1.7249416210685975, -174.02805068791358, -3.734624549124884, -2.908385761142692]"
48,1,"[[532, 262], [584, 260], [588, 310], [535, 312]]","[1.6667817222247339, 178.69071639136902, 11.315261392729367, -4.909000766586857]"
49,1,"[[508, 262], [559, 261], [561, 311], [510, 314]]","[1.596264481346616, 175.3710054505871, 11.298072160592715, -3.335013623219944]"
56,1,"[[147, 245], [198, 244], [196, 289], [143, 289]]","[1.4363355208592306, 131.48411232228054, -10.878394216434026, -0.41758273997180906]"
62,17,"[[880, 316], [830, 301], [881, 296], [886, 308]]","[8.60165060134749, 177.63730753288212, 11.179925107235247, -138.14162279709893]"
65,1,"[[381, 269], [418, 274], [413, 310], [376, 304]]","[2.044935460452831, 178.27140260934837, 18.775262741632034, 5.262716375246485]"
103,1,"[[343, 158], [389, 161], [382, 206], [336, 200]]","[1.5720006748781088, 157.65299052753878, 21.102111058392175, 4.6431770343044425]"
121,1,"[[240, 297], [293, 294], [292, 351], [237, 355]]","[1.2906286286713038, 167.25061749161227, -27.176925153413258, 8.123569425845211]"
122,1,"[[114, 295], [173, 296], [171, 353], [109, 353]]","[1.2911915773959286, 134.73092040094215, -15.084714305307942, 2.461648594905645]"
123,1,"[[101, 297], [162, 296], [161, 353], [96, 353]]","[1.2614088634410299, 127.6134843228641, -18.758611893082286, 3.082720670681457]"
124,1,"[[424, 224], [479, 234], [466, 291], [412, 277]]","[1.3559423221047036, 167.25479750610805, 34.2564433531201, 8.146124069352787]"
125,1,"[[591, 182], [647, 192], [632, 250], [575, 239]]","[1.4667274901930893, -175.2029257239196, -2.756914952073354, 10.184252967043834]"
127,1,"[[597, 153], [657, 158], [646, 217], [588, 211]]","[1.4865588806074466, -175.18752042760715, -2.685345231377623, 4.82726329467113]"
128,1,"[[560, 156], [619, 158], [611, 219], [553, 216]]","[1.3643785098596455, -172.95976158468437, 4.603836010565364, 2.0412844984367657]"
129,1,"[[536, 159], [599, 159], [591, 220], [531, 219]]","[1.302726974905471, -168.10950302258726, 12.675953803306669, -0.18264603215780106]"
131,1,"[[182, 253], [249, 244], [255, 306], [192, 317]]","[1.126831084518959, -178.2375272059564, -19.983859117962673, -5.119155881868391]"
132,1,"[[180, 332], [246, 330], [248, 396], [180, 399]]","[1.1679253547295763, 161.17374094751736, -15.700466429444054, 3.546270370673741]"
